,Locality,Precinct ID,Precinct Name,Num Precincts
10,BEDFORD COUNTY,"404,602,401,102,301,504,203,302,101,305,503,502,205,202,702,505,103,201,402,704,601,701,506,304,703,604,603,306,303,204,403,104","ST. PAUL BAPTIST CHURCH,SHADY GROVE FIRE DEPARTMENT,FOREST ELEMENTARY SCHOOL,HARDY VOL FIRE CO,NEW LONDON ACADEMY,SUCK SPRINGS BAPTIST CHURCH,MONETA ELEM SCHOOL,BEDFORD REGIONAL WATER AUTH,GOODVIEW ELEM SCHOOL,HUDDLESTON ELEM SCHOOL,SEDALIA CENTER,BIG ISLAND ELEM SCHOOL,SAUNDERS VOL FIRE CO,STAUNTON RIVER HIGH SCHOOL,LIBERTY HIGH SCHOOL,BOONSBORO ELEMENTARY SCHOOL,CHAMBLISSBURG BAPTIST CHURCH,BEDFORD CHRISTIAN CHURCH,THOMAS JEFFERSON ELEM SCHOOL,BEDFORD CENTRAL LIBRARY,MONTVALE ELEM SCHOOL,GOODE VOL RESCUE SQUAD,BOONSBORO RURITAN CLUB,THE WELL CHURCH,THAXTON BAPTIST CHURCH #2,BEDFORD WELCOME CENTER,THAXTON BAPTIST CHURCH #1,FOREST FIRE STATION #2,BETHESDA UNITED METHODIST CHURCH,QUAKER BAPTIST CHURCH,KNIGHTS OF COLUMBUS BLDG,STEWARTSVILLE RESCUE SQUAD",32
11,BLAND COUNTY,"201,302,202,301,102,401,101","DAVIS,MECHANICSBURG,SEDDON,HOLLYBROOK,CERES,ROCKY GAP,BASTIAN",7
12,BOTETOURT COUNTY,"301,202,403,502,406,101,501,302,102,201","BUCHANAN,RAINBOW FOREST,EAGLE ROCK,CLOVERDALE,FINCASTLE,DALEVILLE,TROUTVILLE,MILL CREEK,GREENFIELD,BLUE RIDGE",10
13,BRISTOL CITY,"002,003,001,004","SECOND WARD,THIRD WARD,FIRST WARD,FOURTH WARD",4
14,BRUNSWICK COUNTY,"303,401,103,201,101,304,202,402,501,302,301,203,102","ELMORE,STURGEON,TILLMAN,DROMGOOLE,BRODNAX,SEYMOUR,EDGERTON,KING'S STORE,TOTARO,DANIELTOWN,ALBERTA,FITZHUGH,ROCK STORE",13
15,BUCHANAN COUNTY,"201,503,103,301,701,302,702,403,601,202,404,602,502,603,203,102,501","GRASSY,VANSANT,HURLEY,SLATE,WHITEWOOD,NORTH GRUNDY,CONTRARY,SOUTH GRUNDY,COUNCIL,BULL,OAKWOOD,GARDEN,FOX,HURRICANE,ROCKLICK,BLACKEY,PRATER",17
16,BUCKINGHAM COUNTY,"301,502,701,501,201,102,401,601,302,101","CURDSVILLE,GLENMORE,GOLD HILL,WRIGHTS,WHITE HALL,GEORGIA CREEK,MAYSVILLE,SLATE RIVER,NEW STORE,NEW CANTON",10
17,BUENA VISTA CITY,"001,002","FIRST WARD,SECOND WARD",2
18,CAMPBELL COUNTY,"702,301,102,303,501,703,601,602,202,101,401,402,302,701,201,502","GLADYS,EVINGTON,NEW LONDON,ALTAVISTA,SPRING HILL,MORRIS CHURCH,KINGS,CONCORD,BEDFORD SPRINGS,BROOKVILLE,THREE FORKS,COURT HOUSE,OTTER RIVER,BROOKNEAL,WALKER,YELLOW BRANCH",16
19,CAROLINE COUNTY,"202,601,302,501,201,101,102,401,402,301,502,602","SOUTH MADISON,CHILESBURG,WOODFORD,WEST MATTAPONI,NORTH MADISON,BOWLING GREEN,SPARTA,DAWN,CARMEL CHURCH,PORT ROYAL,MILFORD,LAKE",12
20,CARROLL COUNTY,"202,406,201,502,301,501,303,401,503,203,102,402,101,504,105,103,302","LAUREL FORK,WOODLAWN F,HILLSVILLE B,GLADEVILLE,HILLSVILLE C,VAUGHAN,DUGSPUR,OAKLAND,WOODLAWN E,GLADESBORO,ST PAUL,WOODLAWN D,MT BETHEL,LAUREL,FANCY GAP,LAMBSBURG,SYLVATUS",17
21,CHARLES CITY COUNTY,"101,301,201","PRECINCT 1-1,PRECINCT 3-1,PRECINCT 2-1",3
22,CHARLOTTE COUNTY,"401,302,201,702,101,602,501","KEYSVILLE,DRAKES BRANCH,RED OAK WYLLIESBURG,BACON/SAXE,COUNTY SEAT,PHENIX,CULLEN/RED HOUSE",7
23,CHARLOTTESVILLE CITY,"401,102,201,302,303,202,101,301,402","VENABLE,CLARK,CARVER,JOHNSON,BUFORD,WALKER,RECREATION,BENJAMIN TONSLER,ALUMNI HALL",9
24,CHESAPEAKE CITY,"008,056,054,010,040,022,048,025,038,047,053,031,057,059,009,020,012,019,051,058,016,001,037,043,014,028,042,052,062,063,007,029,039,049,030,003,050,041,036,005,006,017,034,061,046,045,026,015,032,033,024,004,035,011,055,002,021,044,060,027,013,018,023","SOUTH NORFOLK RECREATION,GREEN TREE,PUGHSVILLE,OSCAR SMITH,RIVER BIRCH,NORFOLK HIGHLANDS,JOLLIFF MIDDLE SCHOOL,ST JULIANS,BAILEY CREEK,GREEN SEA,FAIRWAYS,CARVER SCHOOL,CYPRESS,CLEARFIELD,BELLS MILL,E W CHITTUM,GEORGETOWN,JOLLIFF,COOPERS WAY,EXPRESSWAY,HICKORY GROVE,GREAT BRIDGE,BRIDGETOWN,PLEASANT CROSSING,GRASSFIELD,SUNRAY I,PARKWAYS,SHIPYARD ROAD,FENTRESS,POPLAR BRANCH,GREENBRIER,TANGLEWOOD,LAKE DRUMMOND,WATERWAY,SOUTH NORFOLK,CAMELOT,RIVER WALK,JOHN T WEST,GREAT BRIDGE BAPTIST CHURCH,CRESTWOOD,DEEP CREEK,INDIAN CREEK,HICKORY MIDDLE SCHOOL,CENTERVILLE,BELLS MILL II,SUNRAY II,JOHNSON PARK,B M WILLIAMS,PROVIDENCE,WESTOVER,OAKLETTE,CHURCHLAND,TAYLOR ROAD,GENEVA PARK,GEORGETOWN EAST,BETHEL,FELLOWSHIP,NANSEMOND,PARKER ROAD,SILVERWOOD,GILMERTON,INDIAN RIVER,OAK GROVE",63
25,CHESTERFIELD COUNTY,"213,212,404,513,518,306,409,109,102,205,414,202,402,317,308,313,514,416,208,508,302,503,108,407,516,511,406,415,417,403,413,410,211,210,515,104,304,401,506,207,111,215,206,303,509,105,204,315,310,110,405,316,309,502,305,318,504,510,307,209,203,106,201,101,408,505,501,214,112,107,507,517,301,411,103","SOUTHSIDE,ST. LUKE'S,PROVIDENCE,BEAUFONT,MIDLOTHIAN NORTH,WINTERPOCK,MANCHESTER,ELIZABETH SCOTT,SOUTH CHESTER,FALLING CREEK,CRENSHAW,BEULAH,GENITO,BIRKDALE,SOUTH MANCHESTER,WOOLRIDGE,WATKINS,EVERGREEN WEST,MEADOWBROOK,BELGRADE,DEER RUN,MIDLOTHIAN,ECOFF,MONACAN,POCOSHOCK,BLACK HEATH,SMOKETREE,EVERGREEN,EDGEWATER,BRANDERMILL,SHENANDOAH,WAGSTAFF,NASH,FIVE FORKS,DAVIS,NORTH CHESTER,WINFREES STORE,HARBOUR POINTE,GREENFIELD,CHIPPENHAM,IRON BRIDGE,NORTH BIRD,BELMONT,MATOACA,CRANBECK,DREWRYS BLUFF,JACOBS,BAILEY BRIDGE,TOMAHAWK,DUTCH GAP,LA PRADE,SPRING RUN,SKINQUARTER,CRESTWOOD,BEACH,WEST BEACH,ROBIOUS,SYCAMORE,COSBY,SALEM CHURCH,BIRD,HARROWGATE,GATES,BELLWOOD,REAMS,BON AIR,HUGUENOT,HOPKINS,CARVER,WELLS,SALISBURY,ROSELAND,ETTRICK,SWIFT CREEK,ENON",75
26,CLARKE COUNTY,"301,101,201,302,501,502,401","MILLWOOD,RUSSELL,BERRYVILLE,PINE GROVE,BUCKMARSH,BLUE RIDGE,WHITE POST",7
27,COLONIAL HEIGHTS CITY,"003,001,005,002,004","THIRD,FIRST,FIFTH,SECOND,FOURTH",5
28,COVINGTON CITY,"101,201,401,501,301","PRECINCT 1-1,PRECINCT 2-1,PRECINCT 4-1,PRECINCT 5-1,PRECINCT 3-1",5
29,CRAIG COUNTY,"403,301,501,101,303,201,401,402","CRAIG SPRINGS,GIVENS & REYNOLDS STORE,CRAIG CITY,COURT HOUSE,MARSHALLS STORE,AMMENDALE PRECINCT,BARBOURS CREEK,PAINT BANK",8
30,CULPEPER COUNTY,"201,502,704,602,601,703,302,501,303,702,401,603,402,304,101","EAST FAIRFAX,RIXEYVILLE,RICHARDSVILLE,PEARL SAMPLE,MITCHELLS,LIGNUM,EGGBORNSVILLE,JEFFERSONTON,CARDOVA,BRANDY STATION,ELDORADO,SOUTH RIDGE,BROWNS STORE,WILLOW SHADE,WEST FAIRFAX",15
31,CUMBERLAND COUNTY,"201,101,401,301,501","PRECINCT 2,PRECINCT 1,PRECINCT 4,PRECINCT 3,PRECINCT 5",5
32,DANVILLE CITY,"012,013,014,002,010,003,017,007,001,015,009,006,008,011,004,016","WARD TWELVE,WARD THIRTEEN,WARD FOURTEEN,WARD TWO,WARD TEN,WARD THREE,WARD SEVENTEEN,WARD SEVEN,WARD ONE,WARD FIFTEEN,WARD NINE,WARD SIX,WARD EIGHT,WARD ELEVEN,WARD FOUR,WARD SIXTEEN",16
33,DICKENSON COUNTY,"101,201,502,501,401,202,301,302,203,303","SOUTH CLINTWOOD,NORA,NORTH CLINTWOOD,TARPON,HAYSI-COLLEY,FRYING PAN,WEST DANTE,HERALD,CLINCHCO,RIDGE",10
34,DINWIDDIE COUNTY,"303,201,103,401,302,301,101,202,403,502,402,102,501","LITTLE ZION,ROHOIC,CHURCH ROAD,DINWIDDIE,NEW HOPE,REAMS,WHITE OAK,SUTHERLAND,CHERRY HILL,CHESDIN,MCKENNEY,ROCKY RUN,EDGEHILL",13
35,EMPORIA CITY,"701,201,501,101,301,401,601","DISTRICT 7,PRECINCT 2-1,PRECINCT 5-1,PRECINCT 1-1,PRECINCT 3-1,PRECINCT 4-1,DISTRICT 6",7
36,ESSEX COUNTY,"401,301,201,101","CENTRAL,SOUTH,NORTH,GREATER TAPPAHANNOCK",4
37,FAIRFAX CITY,"003,005,004,002,006,001","THREE,FIVE,FOUR,TWO,SIX,ONE",6
38,FAIRFAX COUNTY,"404,840,307,329,627,714,918,319,214,735,731,415,110,901,507,530,123,621,117,521,926,306,628,236,424,104,803,302,804,733,616,838,825,623,204,523,516,612,709,223,518,512,729,615,807,842,227,115,422,501,208,216,113,510,805,602,508,605,315,237,301,611,707,811,311,128,238,732,132,850,240,226,203,904,708,718,126,849,851,630,314,221,730,802,309,409,608,911,229,201,734,303,420,410,219,833,222,129,710,427,121,629,119,607,421,601,604,844,919,209,418,626,428,923,619,213,233,513,915,914,815,408,419,333,118,402,220,417,520,908,401,902,801,909,847,930,609,305,610,105,317,711,202,916,928,316,827,304,116,845,218,927,726,224,606,723,502,839,125,225,617,127,504,327,332,824,134,509,403,913,235,921,505,528,318,525,924,925,321,933,328,514,614,426,405,720,503,713,322,515,701,519,324,320,133,703,721,843,130,527,929,704,526,423,325,323,917,429,717,234,812,312,622,411,506,108,910,120,618,727,522,106,905,841,331,705,413,517,920,848,932,903,613,931,131,109,406,114,846,511,806,712,310","FRANCONIA,WEST SPRINGFIELD,HAYCOCK,SENECA,WOODLAWN,WALKER,CENTREVILLE,HERNDON #1,VIENNA #2,ROTONDA,TYSONS,CRESTWOOD,NORTH SPRINGFIELD,CENTRE RIDGE,LINCOLNIA,HOLMES #2,ROBINSON,GROSVENOR,WOODSON,BROOK HILL,POWELL,GREAT FALLS,LAUREL HILL,STUART,HUNTLEY,CHAPEL,CLIFTON,CHESTERBROOK,COLCHESTER,KILMER,GUNSTON,SANGSTER,CHERRY RUN,ALBAN,MADISON,POE,WEYANOKE,WAYNEWOOD,MOSBY,GLADE,COLUMBIA,SLEEPY HOLLOW,NOTTOWAY,WOODLEY,HUNT VALLEY,PARKWAY,SUNRISE VALLEY,RAVENSWORTH,VAN DORN,BAILEYS,RESTON #1,VIENNA #4,CANTERBURY,PARKLAWN,FAIRFAX STATION,BELLEVIEW,MASONVILLE,FORT HUNT,PIMMIT,MCNAIR,CHAIN BRIDGE,STRATFORD,MANTUA,POHICK,LANGLEY,CARDINAL,CAMERON GLEN,OAK MARR,MONUMENT,SOUTH RUN,COLVIN,WOLFTRAP,FLORIS,STONECROFT,MARSHALL,PINE RIDGE,BONNIE BRAE,NEWGATE,WILLOW SPRINGS,ARMY,MCLEAN,HUNTERS WOODS,PENDERBROOK,CEDAR LAKE,KENMORE,PIONEER,KIRKSIDE,NAVY,FOX MILL,ARMSTRONG,HUNTERS BRANCH,CHURCHILL,VILLAGES,ROSE HILL,WESTBRIAR,WHITE OAKS,RESTON #3,KEENE MILL,PINE SPRING,ISLAND CREEK,VILLA,SOUTH COUNTY,LAUREL,HUNTINGTON,KINGSTOWNE,BELLE HAVEN,BUCKNELL,CENTERPOINTE,GREEN TRAILS,RESTON #2,LYNBROOK,SARATOGA,PINEWOOD,BULL RUN,BELVOIR,VIENNA #1,NORTH POINT,SAINT ALBANS,VIRGINIA RUN,VALE,WOODYARD,MOUNT EAGLE,LANE,SALONA #2,LAKE BRADDOCK,CAMERON,DOGWOOD,GARFIELD,SKYLINE,HIDDEN MEADOW,BUSH HILL,BROOKFIELD,BURKE,OAK HILL,GREENBRIAR WEST,LEES CORNER,MARLAN,EL NIDO,SHERWOOD,FAIRVIEW,WESTHAMPTON,PRICE,FLINT HILL,WAPLES MILL,POPLAR TREE,SALONA #1,IRVING,COOPER,WAKEFIELD,FOUNTAINHEAD,VIENNA #6,ARMFIELD,MAGARITY,SOUTH LAKES,HOLLIN HALL,GALLOWS EAST,BARCROFT,SILVERBROOK,SIGNAL HILL,HUGHES,LORTON,BURKE CENTRE,BRISTOW,SUGARLAND,COATES,ORANGE,UNIVERSITY,PLAZA,FORESTDALE,ROCKY RUN,FRYING PAN,DEER PARK,GLEN FOREST,RIDGELEA,WESTMORELAND,WALNUT HILL,SPINDLE,OLD MILL,CLEARVIEW,COMPTON,HICKORY,CROSSROADS,RIVERSIDE,GREENSPRING,GROVETON,THOREAU,BELVEDERE,TIMBER LANE,FORESTVILLE,WESTLAWN,BLAKE,HUMMER,HERNDON #3,HERNDON #2,DANBURY,FORT BUFFALO,MERRIFIELD,FAIR LAKES,TERRA CENTRE,EDSALL,DIFFICULT RUN,FREEDOM HILL,BREN MAR,CLERMONT,HUTCHISON,SHOUSE,STONE NORTH,HYBLA VALLEY,WOODBURN,ALDRIN,VALLEY,LONGFELLOW,LORTON STATION,VIRGINIA HILLS,HOLMES #1,KINGS PARK,LONDON TOWNE,SIDEBURN,NEWINGTON,OAKTON,CAMELOT,HERITAGE,FRANKLIN,POPES HEAD,SPRING HILL,GRAHAM,FAIRFIELD,WILLSTON,CHANTILLY,FAIR OAKS,STONE SOUTH,CUB RUN,WESTGATE,CARSON,EAGLE VIEW,LITTLE RUN,HAYFIELD,OLDE CREEK,GREENBRIAR EAST,RAVENWOOD,SYDENSTRICKER,SHREVE,KIRBY",243
39,FALLS CHURCH CITY,"002,003,001","SECOND WARD,THIRD WARD,FIRST WARD",3
40,FAUQUIER COUNTY,"203,106,104,402,102,504,105,302,103,301,401,403,101,502,303,501,404,503,201,202","WARRENTON,BALDWIN RIDGE,LOIS,LEEDS,CATLETT,VINT HILL,OPAL,REMINGTON,CASANOVA,MORRISVILLE,MARSHALL,WATERLOO,KETTLE RUN,NEW BALTIMORE,BEALETON,THE PLAINS,SPRINGS VALLEY,BROAD RUN,COURTHOUSE,AIRLIE",20
41,FLOYD COUNTY,"301,501,101,201,401","COURTHOUSE,INDIAN VALLEY,LOCUST GROVE,LITTLE RIVER,BURKS FORK",5
42,FLUVANNA COUNTY,"201,501,101,301,401","COLUMBIA,RIVANNA,PALMYRA,FORK UNION,CUNNINGHAM",5
43,FRANKLIN CITY,"401,201,501,101,301,601","PRECINCT 4-1,PRECINCT 2-1,PRECINCT 5-1,PRECINCT 1-1,PRECINCT 3-1,PRECINCT 6-1",6
44,FRANKLIN COUNTY,"303,503,302,403,401,502,102,204,501,402,203,304,103,603,201,701,602,703,702,301,601,202,504","SONTAG,BOWMANS,FORK MOUNTAIN,ENDICOTT,HENRY,CALLAWAY,BURNT CHIMNEY,DUDLEY,WAIDSBORO,FERRUM,HODGESVILLE,DICKINSON,SCRUGGS,COOPERS COVE,GLADE HILL,ROCKY MOUNT EAST,BONBROOK,ROCKY MOUNT SOUTH,ROCKY MOUNT WEST,SNOW CREEK,BOONES MILL,PENHOOK,GOGGINSVILLE",23
45,FREDERICK COUNTY,"502,301,601,303,202,201,402,503,404,104,302,401,403,603,101,602,102,501,103,203,204","NEWTOWN,CLEAR BROOK,MILLBROOK,WHITE HALL,ALBIN,GAINESBOROUGH,SHENANDOAH,CANTERBURG,ARMEL,CEDAR CREEK,NEFF'S TOWN,CARPERS VALLEY,PARKIN'S MILL,GREENWOOD,RUSSELLS,ASH HOLLOW,GORE,STEPHENS CITY,KERNSTOWN,REDLAND,NAIN",21
46,FREDERICKSBURG CITY,"402,301,401,101,201","PRECINCT 2,PRECINCT 1,PRECINCT 1,PRECINCT 1,PRECINCT 1",5
47,GALAX CITY,"001,002,003","EAST,NORTH,SOUTH",3
48,GILES COUNTY,"303,103,302,101,301,203,201,202,102","NEWPORT,NARROWS,PEMBROKE,GLEN LYN,EGGLESTON,WHITE GATE,PEARISBURG,STAFFORDSVILLE,RICH CREEK",9
49,GLOUCESTER COUNTY,"202,201,101,402,103,301,502,302,102,501,401","BOTETOURT,COURTHOUSE,HARCUM,SARAHS CREEK,PEASLEY,WHITE MARSH,WALKER,ROANES,SALEM,ACHILLES,HAYES",11
50,GOOCHLAND COUNTY,"302,401,102,502,501,201,301,101,402,202","GOOCHLAND COURT HOUSE 2,SHALLOW WELL,HADENSVILLE,BLAIR ROAD,MANAKIN,THREE SQUARE,GOOCHLAND COURT HOUSE 1,FIFE,CENTERVILLE,SANDY HOOK",10
51,GRAYSON COUNTY,"203,202,106,402,101,107,105,403,301,401,103,102,302,104,108","INDEPENDENCE,ELK CREEK,RUGBY,PROVIDENCE,BRIDLE CREEK,TROUTDALE,MOUNT ROGERS,OLDTOWN,BAYWOOD,FRIES,GRANT,FLATRIDGE,FAIRVIEW,MOUTH OF WILSON,COMERS ROCK",15
52,GREENE COUNTY,"401,102,301,201,101","MIDWAY,SWIFT RUN,STANARDSVILLE,RUCKERSVILLE,DYKE",5
53,GREENSVILLE COUNTY,"202,401,103,201,102,302,402,403,101","PRECINCT 2-B,PRECINCT 4-A,PRECINCT 1-C,PRECINCT 2-A,PRECINCT 1-B,PRECINCT 3-A,PRECINCT 4-B,PRECINCT 4-C,PRECINCT 1-A",9
54,HALIFAX COUNTY,"302,304,102,403,605,702,103,603,401,203,305,701,801,101,201,202,703,601,503,502","MEADVILLE,VERNON HILL,LIBERTY,CENTER,UNION,MIDWAY,REPUBLICAN GROVE,MT CARMEL,COURTHOUSE,CLOVER,SINAI,HYCO,SOUTH BOSTON,CHILDREY,CLAYS MILL,CROSSROADS,VIRGILINA,BLACK WALNUT,SCOTTSBURG,DAN RIVER",20
55,HAMPTON CITY,"107,201,108,106,204,213,118,212,214,205,101,103,102,217,104,203,210,115,209,111,215,208,109,110,216,105,116,117,202,112","LINDSAY,BOOKER,THOMAS,ARMSTRONG,FORREST,PHILLIPS,MALLORY,BETHEL,TUCKER CAPPS,ASBURY,ABERDEEN,CITY HALL,BASSETTE,SYMS,COOPER,BURBANK,MACHEN,WYTHE,LANGLEY,HAMPTON LIBRARY,TYLER,KRAFT,PHENIX,PHOEBUS,SANDY BOTTOM,EAST HAMPTON,JONES,KECOUGHTAN,BRYAN,SMITH",30
56,HANOVER COUNTY,"301,507,106,504,101,202,704,505,209,702,206,703,506,304,602,604,701,107,303,503,210,201,406,502,305,208,705,601,105,403,401,603,104,405,203,404","CLAY,LAUREL MEADOW,KERSEY CREEK,STUDLEY,ASHLAND,BLUNTS,ELMONT,TOTOPOTOMOY,WEST HANOVER,MONTPELIER,COURTHOUSE,ROCKVILLE,GEORGETOWN,ATLEE,LEE DAVIS,HANOVER GROVE,FARRINGTON,CHICKAHOMINY,SHADY GROVE,NEWMAN,OAK HILL,BEAVERDAM,BEAVERDAM CREEK,RURAL POINT,COOL SPRING,OAK KNOLL,SOUTH ANNA,VILLAGE,BERKLEY,COLD HARBOR,BATTLEFIELD,MECHANICSVILLE,SLIDING HILL,PEBBLE CREEK,WILMINGTON PARISH,BLACK CREEK",36
57,HARRISONBURG CITY,"202,201,102,203,105,101,104,103","SOUTHWEST,NORTHWEST,EAST CENTRAL,WEST,SOUTH EAST CENTRAL,NORTHEAST,EAST,SOUTHEAST",8
58,HENRICO COUNTY,"512,419,511,505,223,502,219,215,405,411,406,221,501,417,205,311,412,301,514,409,209,114,112,106,108,308,504,310,404,222,303,105,224,508,402,302,304,117,113,217,413,218,111,314,410,515,516,415,312,204,202,407,213,216,315,309,210,307,517,101,115,220,414,103,507,416,305,418,403,408,201,306,109,206,401,207,110,503,509,513,208,313,211,518,203,214,212,102,506,510","NINE MILE,WEST END,MONTROSE,DOREY,YELLOW TAVERN,CEDAR FORK,RANDOLPH,MAPLEWOOD,GAYTON,PEMBERTON,GODWIN,STRATFORD HALL,ANTIOCH,TUCKAHOE,CANTERBURY,SHORT PUMP,PINCHBECK,CAUSEWAY,ROLFE,MAYBEURY,GLEN LEA,MONUMENT HILLS,LONGAN,HERMITAGE,HUNGARY CREEK,RIVERS EDGE,DONAHOE,SHADY GROVE,FREEMAN,WILDER,INNSBROOK,GREENDALE,ESSEX VILLAGE,HIGHLAND SPRINGS,CRESTVIEW,CEDARFIELD,JACKSON DAVIS,WESTWOOD,MAUDE TREVVETT,MOUNTAIN,RIDGEFIELD,OAKVIEW,LAKESIDE,THREE CHOPT,MOORELAND,SANDSTON,SULLIVANS,SKIPWITH,SPRINGFIELD,BROOKLAND,AZALEA,LAKEWOOD,HUNGARY,MOODY,TUCKER,SADLER,GREENWOOD,RIDGE,TOWN HALL,COALPIT,STAPLES MILL,RATCLIFFE,ROLLINGWOOD,GLEN ALLEN,ELKO,SPOTTSWOOD,NUCKOLS FARM,WELBORNE,DERBYSHIRE,LAUDERDALE,ADAMS,POCAHONTAS,HUNTON,CENTRAL GARDENS,QUIOCCASIN,CHAMBERLAYNE,JOHNSON,CHICKAHOMINY,LABURNUM,PLEASANTS,FAIRFIELD,STONEY RUN,HIGHLAND GARDENS,WHITLOCKS,BELMONT,LONGDALE,HOLLYBROOK,DUMBARTON,EANES,MEHFOUD",90
