,Locality,Precinct ID,Precinct Name,Num Precincts
0,ACCOMACK COUNTY,"602,502,403,803,201,901,101,701,802,601,202,501,401,301,402,801","TANGIER,RUE,SAXIS,WACHAPREAGUE,ATLANTIC,PAINTER,CHINCOTEAGUE,NANDUA,MELFA,ACCOMAC,GREENBACKVILLE,MAPPSVILLE,BLOXOM,NEW CHURCH,PARKSLEY,BOBTOWN",16
1,ALBEMARLE COUNTY,"504,501,402,506,301,106,305,606,304,306,601,502,103,302,603,604,202,104,507,201,307,406,101,401,203,105,407,405,503,602","FREE BRIDGE,KESWICK,MONTICELLO,BAKER-BUTLER,IVY,NORTHSIDE,COUNTRY GREEN,MECHUMS RIVER,EAST IVY,PORTERS,CROZET,STONY POINT,BRANCHLANDS,RED HILL,EARLYSVILLE,BROWNSVILLE,UNIVERSITY,AGNOR-HURT,PANTOPS,JACK JOUETT,YELLOW MOUNTAIN,STONE ROBINSON,WOODBROOK,SCOTTSVILLE,GEORGETOWN,DUNLORA,BISCUIT RUN,CALE,HOLLYMEAD,FREE UNION",30
2,ALEXANDRIA CITY,"107,103,106,109,111,105,104,303,110,305,302,102,207,202,209,203,101,307,206,306,210,308,205,208,304,108,204,201","MT VERNON RECREATION CENTER,LYLES CROUCH SCHOOL,CORA KELLY,FIRE DEPARTMENT HEADQUARTERS,POTOMAC YARD,LEE CENTER,DURANT CENTER,CHARLES E BEATLEY LIBRARY,CHARLES HOUSTON CENTER,JOHN ADAMS SCHOOL,PATRICK HENRY REC CENTER,CITY HALL,TEMPLE BETH EL SYNAGOGUE,GEORGE MASON SCHOOL,JAMES K POLK SCHOOL,AGUDAS ACHIM SYNAGOGUE,LADREY SENIOR BUILDING,SOUTH PORT,CHINQUAPIN PARK RECREATION CTR,WILLIAM RAMSAY SCHOOL,THE HERMITAGE,CAMERON STATION COMMUNITY CTR,DOUGLAS MACARTHUR SCHOOL,NOVA ARTS CENTER,SAMUEL TUCKER SCHOOL,GEORGE WASHINGTON MIDDLE SCH,BLESSED SACRAMENT CHURCH,MAURY SCHOOL",28
3,ALLEGHANY COUNTY,"301,401,501,402,302,202,101,502,601,103,701,201","CALLAGHAN,LOW MOOR,IRON GATE,JACKSON HEIGHTS,GRIFFITH,DOLLY ANN,ARRITT,PETERS SWITCH,DISTRICT 1,DAMERON,DISTRICT 2,HUMPBACK BRIDGE",12
4,AMELIA COUNTY,"201,301,401,501,101","NUMBER TWO,NUMBER THREE,NUMBER FOUR,NUMBER FIVE,NUMBER ONE",5
5,AMHERST COUNTY,"302,501,401,201,402,101,202,102,103,303,301","ELON,MADISON,AMELON,COURT HOUSE,LONCO,WRIGHT SHOP,TEMPERANCE,NEW GLASGOW,COOLWELL,PLEASANT VIEW,MONROE",11
6,APPOMATTOX COUNTY,"502,401,501,202,302,201,301,102,101","AGEE,COURTHOUSE,OAKVILLE,SPOUT SPRING,STONEWALL,CHAP,US 460,PAMPLIN,VERA",9
7,ARLINGTON COUNTY,"003,016,044,026,037,023,036,047,017,019,027,015,001,048,034,006,025,030,038,031,002,040,022,028,054,011,049,042,033,043,046,012,045,005,051,020,014,007,021,013,050,009,041,010,004,039,029,024,032,008,053,035,018,052","AURORA HILLS,LYON VILLAGE,DAWSON TERRACE,FILLMORE,NOTTINGHAM,WESTOVER,MARSHALL,FOUR MILE RUN,OVERLEE KNOLLS,ROSSLYN,JEFFERSON,LYON PARK,ARLINGTON,AUSA,YORKTOWN,CRYSTAL CITY,ARLINGTON FOREST,GLEBE,ARLINGTON VIEW,LEXINGTON,ASHTON HEIGHTS,VIRGINIA SQUARE,ABINGDON,WAKEFIELD,GARFIELD PARK,EAST FALLS CHURCH,MONROE,SHIRLINGTON,ROCK SPRING,CAMPBELL,CENTRAL,FAIRLINGTON,BUCKINGHAM,BARCROFT,TAYLOR,THRIFTON,CLARENDON,CHERRYDALE,VIRGINIA HIGHLANDS,GLEN CARLYN,CRYSTAL PLAZA,COLUMBIA,NAVY LEAGUE,WILSON,BALLSTON,ASHLAWN,DOMINION HILLS,WOODLAWN,OAKRIDGE,HUME,MET PARK,MADISON,PARK LANE,GUNSTON",54
8,AUGUSTA COUNTY,"403,601,803,301,801,303,502,802,602,304,501,405,201,504,401,404,101,603,102,302,202,503,203,103,402","CRAIGSVILLE,SHERANDO,WILSON,FORT DEFIANCE,DOOMS,MOUNT SOLON,MIDDLEBROOK,FISHERSVILLE,RIDGEVIEW,CHURCHVILLE FIRE STATION,GREENVILLE,CEDAR GREEN,CRIMORA,WHITE HILL,BUFFALO GAP,DEERFIELD,JOLIVUE,LYNDHURST,STUARTS DRAFT ELEMENTARY,NORTH RIVER,NEW HOPE,SPOTTSWOOD,WEYERS CAVE,VERONA,CHURCHVILLE ELEMENTARY",25
9,BATH COUNTY,"302,102,101,501,201,301,401","BURNSVILLE,MOUNTAIN GROVE,WARM SPRINGS,HEALING SPRINGS,HOT SPRINGS,FAIRVIEW,MILLBORO",7
